retailer,product_name,url,url_quality,variant_match
ASOS,Night Rescue,https://www.asos.com/megababe/megababe-night-rescue-overnight-brightening-stick/prd/206648411,pdp,
ASOS,Body Dust,https://www.asos.com/megababe/megababe-body-dust-top-to-toe-powder-170g/prd/204931469,pdp,
ASOS,Rosy Pits,https://www.asos.com/megababe/megababe-rosy-pits-daily-deodorant-75g/prd/204931436,pdp,
ASOS,Rosy Pits Mini,https://www.asos.com/megababe/megababe-mini-rosy-pits-daily-deodorant-28g/prd/204931463,pdp,
ASOS,Shower Sheets,https://www.asos.com/megababe/megababe-cucumber-mint-shower-sheets/prd/206648405,pdp,
ASOS,Megafresh Wipes,https://www.asos.com/megababe/megababe-megafresh-wipes/prd/206648387,pdp,
ASOS,Happy Pits,https://www.asos.com/megababe/megababe-happy-pits-detoxifying-underarm-mask-90ml/prd/204931457,pdp,
ASOS,Space Bar,https://www.asos.com/megababe/megababe-space-bar-detoxifying-charcoal-underarm-bar-99g/prd/204931468,pdp,
ASOS,Smoothie Deo,https://www.asos.com/megababe/megababe-the-smoothie-deo-fruit-enzyme-daily-deodorant-75g/prd/204931440,pdp,
ASOS,Le Tush,https://www.asos.com/megababe/megababe-le-tush-clarifying-butt-mask-200ml/prd/204931454,pdp,
ASOS,Cream Deo,https://www.asos.com/search/?q=megababe,search_page,
ASOS,Bust Dust,https://www.asos.com/megababe/megababe-bust-dust-anti-boob-sweat-powder-85g/prd/204931448,pdp,
ASOS,Body Dust Mini,https://www.asos.com/megababe/megababe-body-dust-top-to-toe-powder-mini/prd/204931460,pdp,
ASOS,Dust Puff,https://www.asos.com/megababe/megababe-dust-puff-body-powder-puff/prd/204931442,pdp,
ASOS,Unscented Thigh Rescue,https://www.asos.com/megababe/megababe-thigh-rescue-anti-friction-stick-unscented/prd/206648384,pdp,
ASOS,Coco Deo,https://www.asos.com/megababe/megababe-skin-nourishing-daily-deodorant-coconut/prd/209330278,pdp,
